,mae_name,C,gamma,tol,eps,mae
616,SVR_50.0_0.001_1e-07_1e-05,50,0.00001,0.00000,0.00001,0.0001932704818045300
476,SVR_5.0_0.001_1e-07_1e-05,5,0.00001,0.00000,0.00001,0.0001932704818045740
756,SVR_500.0_0.001_1e-07_1e-05,500,0.00001,0.00000,0.00001,0.0001932704818664810
208,SVR_0.05_0.001_9.999999999999999e-05_1e-05,0.05,0.00001,0.00010,0.00001,0.0001940166363749270
348,SVR_0.5_0.001_9.999999999999999e-05_1e-05,0.5,0.00001,0.00010,0.00001,0.0001940166363749270
488,SVR_5.0_0.001_9.999999999999999e-05_1e-05,5,0.00001,0.00010,0.00001,0.0001940166363755040
628,SVR_50.0_0.001_9.999999999999999e-05_1e-05,50,0.00001,0.00010,0.00001,0.0001940166363786570
768,SVR_500.0_0.001_9.999999999999999e-05_1e-05,500,0.00001,0.00010,0.00001,0.0001940166363979750
73,SVR_0.005_0.001_0.001_0.0001,0.005,0.00001,0.00100,0.00010,0.0001942048260549880
284,SVR_0.5_1e-05_1e-06_1e-05,0.5,0.00001,0.00000,0.00001,0.0001958653872724530
72,SVR_0.005_0.001_0.001_1e-05,0.005,0.00001,0.00100,0.00001,0.0001972983170632320
596,SVR_50.0_0.0001_9.999999999999999e-06_1e-05,50,0.00001,0.00001,0.00001,0.0001977413225648030
280,SVR_0.5_1e-05_1e-07_1e-05,0.5,0.00001,0.00000,0.00001,0.0001987204754874570
592,SVR_50.0_0.0001_1e-06_1e-05,50,0.00001,0.00000,0.00001,0.0001989179479313200
588,SVR_50.0_0.0001_1e-07_1e-05,50,0.00001,0.00000,0.00001,0.0001989966928636730
452,SVR_5.0_0.0001_1e-06_1e-05,5,0.00001,0.00000,0.00001,0.0001995669422717670
448,SVR_5.0_0.0001_1e-07_1e-05,5,0.00001,0.00000,0.00001,0.0001997772221671740
292,SVR_0.5_1e-05_9.999999999999999e-05_1e-05,0.5,0.00001,0.00010,0.00001,0.0002002428529389360
456,SVR_5.0_0.0001_9.999999999999999e-06_1e-05,5,0.00001,0.00001,0.00001,0.0002006065701530610
181,SVR_0.05_0.0001_9.999999999999999e-05_0.0001,0.05,0.00001,0.00010,0.00010,0.0002006974661993060
