,mae_name,C,gamma,tol,eps,mae
74,SVR_0.0005_1e-05_100.0_0.001,0.0005,1e-05,100.0,0.001,9544311.612733278
75,SVR_0.0005_1e-05_100.0_0.01,0.0005,1e-05,100.0,0.01,9544311.612733278
76,SVR_0.0005_1e-05_100.0_0.1,0.0005,1e-05,100.0,0.1,9544311.612733278
77,SVR_0.0005_1e-05_100.0_1.0,0.0005,1e-05,100.0,1.0,9544311.612733278
78,SVR_0.0005_1e-05_100.0_10.0,0.0005,1e-05,100.0,10.0,9544311.612733278
79,SVR_0.0005_1e-05_100.0_100.0,0.0005,1e-05,100.0,100.0,9544311.61273334
80,SVR_0.0005_0.0001_1e-07_1e-05,0.0005,0.0001,1e-07,1e-05,9544311.61273337
81,SVR_0.0005_0.0001_1e-07_0.0001,0.0005,0.0001,1e-07,0.0001,9544311.61273337
82,SVR_0.0005_0.0001_1e-07_0.001,0.0005,0.0001,1e-07,0.001,9544311.61273337
83,SVR_0.0005_0.0001_1e-07_0.01,0.0005,0.0001,1e-07,0.01,9544311.61273337
84,SVR_0.0005_0.0001_1e-07_0.1,0.0005,0.0001,1e-07,0.1,9544311.61273337
85,SVR_0.0005_0.0001_1e-07_1.0,0.0005,0.0001,1e-07,1.0,9544311.61273337
86,SVR_0.0005_0.0001_1e-07_10.0,0.0005,0.0001,1e-07,10.0,9544311.61273337
87,SVR_0.0005_0.0001_1e-07_100.0,0.0005,0.0001,1e-07,100.0,9544311.612733379
88,SVR_0.0005_0.0001_1e-06_1e-05,0.0005,0.0001,1e-06,1e-05,9544311.61273337
89,SVR_0.0005_0.0001_1e-06_0.0001,0.0005,0.0001,1e-06,0.0001,9544311.61273337
90,SVR_0.0005_0.0001_1e-06_0.001,0.0005,0.0001,1e-06,0.001,9544311.61273337
91,SVR_0.0005_0.0001_1e-06_0.01,0.0005,0.0001,1e-06,0.01,9544311.61273337
92,SVR_0.0005_0.0001_1e-06_0.1,0.0005,0.0001,1e-06,0.1,9544311.61273337
93,SVR_0.0005_0.0001_1e-06_1.0,0.0005,0.0001,1e-06,1.0,9544311.61273337
94,SVR_0.0005_0.0001_1e-06_10.0,0.0005,0.0001,1e-06,10.0,9544311.61273337
95,SVR_0.0005_0.0001_1e-06_100.0,0.0005,0.0001,1e-06,100.0,9544311.612733379
96,SVR_0.0005_0.0001_9.999999999999999e-06_1e-05,0.0005,0.0001,9.999999999999999e-06,1e-05,9544311.61273337
97,SVR_0.0005_0.0001_9.999999999999999e-06_0.0001,0.0005,0.0001,9.999999999999999e-06,0.0001,9544311.61273337
98,SVR_0.0005_0.0001_9.999999999999999e-06_0.001,0.0005,0.0001,9.999999999999999e-06,0.001,9544311.61273337
99,SVR_0.0005_0.0001_9.999999999999999e-06_0.01,0.0005,0.0001,9.999999999999999e-06,0.01,9544311.61273337
