mae_name,C,gamma,eps,tol,mae
SVR_0.017341529915832612_1.760094579660715e-05_0.005138231086172626_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.005138231086172626,4.019454526140724e-08,23.21029172516861
SVR_0.017341529915832612_1.760094579660715e-05_0.011561019943888409_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.011561019943888409,4.019454526140724e-08,23.21013091424614
SVR_0.017341529915832612_1.760094579660715e-05_0.017341529915832612_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.017341529915832612,4.019454526140724e-08,23.20979720827919
SVR_0.017341529915832612_1.760094579660715e-05_0.02601229487374892_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.02601229487374892,4.019454526140724e-08,23.209319521581467
SVR_0.017341529915832612_1.760094579660715e-05_0.039018442310623375_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.039018442310623375,4.019454526140724e-08,23.208604711316593
SVR_0.017341529915832612_1.760094579660715e-05_0.6666666666666664_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.6666666666666664,4.019454526140724e-08,23.20860471131659
SVR_0.017341529915832612_2.6401418694910726e-05_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,2.6401418694910726e-05,0.0010149592268982965,4.019454526140724e-08,23.19617999831448
SVR_0.017341529915832612_2.6401418694910726e-05_0.0077073466292589396_4.019454526140724e-08,0.017341529915832612,2.6401418694910726e-05,0.0077073466292589396,4.019454526140724e-08,23.196114033852137
SVR_0.017341529915832612_2.6401418694910726e-05_0.017341529915832612_4.019454526140724e-08,0.017341529915832612,2.6401418694910726e-05,0.017341529915832612,4.019454526140724e-08,23.19587719637123
SVR_0.017341529915832612_2.6401418694910726e-05_0.02601229487374892_4.019454526140724e-08,0.017341529915832612,2.6401418694910726e-05,0.02601229487374892,4.019454526140724e-08,23.195386107183953
SVR_0.017341529915832612_2.6401418694910726e-05_0.039018442310623375_4.019454526140724e-08,0.017341529915832612,2.6401418694910726e-05,0.039018442310623375,4.019454526140724e-08,23.194684003694643
SVR_0.017341529915832612_2.6401418694910726e-05_0.05852766346593506_4.019454526140724e-08,0.017341529915832612,2.6401418694910726e-05,0.05852766346593506,4.019454526140724e-08,23.193636629366225
SVR_0.017341529915832612_3.960212804236609e-05_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,3.960212804236609e-05,0.0010149592268982965,4.019454526140724e-08,23.176732114343917
SVR_0.017341529915832612_3.960212804236609e-05_0.011561019943888409_4.019454526140724e-08,0.017341529915832612,3.960212804236609e-05,0.011561019943888409,4.019454526140724e-08,23.1766413228434
SVR_0.017341529915832612_3.960212804236609e-05_0.02601229487374892_4.019454526140724e-08,0.017341529915832612,3.960212804236609e-05,0.02601229487374892,4.019454526140724e-08,23.17629479284212
SVR_0.017341529915832612_3.960212804236609e-05_0.039018442310623375_4.019454526140724e-08,0.017341529915832612,3.960212804236609e-05,0.039018442310623375,4.019454526140724e-08,23.17557875208306
