,mae_name,C,gamma,tol,eps,mae
92,SVR_0.005_0.01_9.999999999999999e-06_1e-05,0.005,0.01,9.999999999999999e-06,1e-05,0.001199455823199358
93,SVR_0.005_0.01_9.999999999999999e-06_0.0001,0.005,0.01,9.999999999999999e-06,0.0001,0.0012542497387279194
94,SVR_0.005_0.01_9.999999999999999e-06_0.001,0.005,0.01,9.999999999999999e-06,0.001,0.0012863618781914887
95,SVR_0.005_0.01_9.999999999999999e-06_0.01,0.005,0.01,9.999999999999999e-06,0.01,0.0029924869646532405
96,SVR_0.005_0.01_9.999999999999999e-05_1e-05,0.005,0.01,9.999999999999999e-05,1e-05,0.0011931035019893787
97,SVR_0.005_0.01_9.999999999999999e-05_0.0001,0.005,0.01,9.999999999999999e-05,0.0001,0.0012724879673465584
98,SVR_0.005_0.01_9.999999999999999e-05_0.001,0.005,0.01,9.999999999999999e-05,0.001,0.0012842980841273998
99,SVR_0.005_0.01_9.999999999999999e-05_0.01,0.005,0.01,9.999999999999999e-05,0.01,0.0029924869646532405
100,SVR_0.005_0.01_0.001_1e-05,0.005,0.01,0.001,1e-05,0.0012281949525319914
101,SVR_0.005_0.01_0.001_0.0001,0.005,0.01,0.001,0.0001,0.0012290205226547445
102,SVR_0.005_0.01_0.001_0.001,0.005,0.01,0.001,0.001,0.0012442215122473233
103,SVR_0.005_0.01_0.001_0.01,0.005,0.01,0.001,0.01,0.0029924869646532405
104,SVR_0.005_0.01_0.01_1e-05,0.005,0.01,0.01,1e-05,0.001978909366023274
105,SVR_0.005_0.01_0.01_0.0001,0.005,0.01,0.01,0.0001,0.0021639672598546154
106,SVR_0.005_0.01_0.01_0.001,0.005,0.01,0.01,0.001,0.001988967259854668
107,SVR_0.005_0.01_0.01_0.01,0.005,0.01,0.01,0.01,0.0029924869646532405
108,SVR_0.005_0.01_0.1_1e-05,0.005,0.01,0.1,1e-05,0.0029924869646532405
109,SVR_0.005_0.01_0.1_0.0001,0.005,0.01,0.1,0.0001,0.0029924869646532405
110,SVR_0.005_0.01_0.1_0.001,0.005,0.01,0.1,0.001,0.0029924869646532405
111,SVR_0.005_0.01_0.1_0.01,0.005,0.01,0.1,0.01,0.0029924869646532405
112,SVR_0.005_0.1_1e-07_1e-05,0.005,0.1,1e-07,1e-05,0.002817344757912643
113,SVR_0.005_0.1_1e-07_0.0001,0.005,0.1,1e-07,0.0001,0.0028443455244958837
114,SVR_0.005_0.1_1e-07_0.001,0.005,0.1,1e-07,0.001,0.0029038456117982834
115,SVR_0.005_0.1_1e-07_0.01,0.005,0.1,1e-07,0.01,0.0029924869646532405
116,SVR_0.005_0.1_1e-06_1e-05,0.005,0.1,1e-06,1e-05,0.0028174893442420856
117,SVR_0.005_0.1_1e-06_0.0001,0.005,0.1,1e-06,0.0001,0.0028444389254691947
118,SVR_0.005_0.1_1e-06_0.001,0.005,0.1,1e-06,0.001,0.0029038373120762627
119,SVR_0.005_0.1_1e-06_0.01,0.005,0.1,1e-06,0.01,0.0029924869646532405
120,SVR_0.005_0.1_9.999999999999999e-06_1e-05,0.005,0.1,9.999999999999999e-06,1e-05,0.0028182095855989963
121,SVR_0.005_0.1_9.999999999999999e-06_0.0001,0.005,0.1,9.999999999999999e-06,0.0001,0.0028445377000796412
122,SVR_0.005_0.1_9.999999999999999e-06_0.001,0.005,0.1,9.999999999999999e-06,0.001,0.002903536101263571
